type,room_id,sender,origin_server_ts,event_id,user_id,content.org.matrix.msc1767.text,content.body,content.msgtype,content.info.size,content.file.v,content.file.key.alg,content.file.key.ext,content.file.key.k,content.file.key.key_ops,content.file.key.kty,content.file.iv,content.file.hashes.sha256,content.file.url,content.to,content.from_device,content.methods,content.format,content.formatted_body,content.m.relates_to.m.in_reply_to.event_id,content.info.mimetype,content.info.w,content.info.h,content.info.xyz.amorgan.blurhash,content.info.thumbnail_info.w,content.info.thumbnail_info.h,content.info.thumbnail_info.mimetype,content.info.thumbnail_info.size,content.info.thumbnail_file.v,content.info.thumbnail_file.key.alg,content.info.thumbnail_file.key.ext,content.info.thumbnail_file.key.k,content.info.thumbnail_file.key.key_ops,content.info.thumbnail_file.key.kty,content.info.thumbnail_file.iv,content.info.thumbnail_file.hashes.sha256,content.info.thumbnail_file.url,content.info.thumbnail_file.mimetype,content.file.mimetype,content.org.matrix.msc1767.message,timestamp_utc,content.body_translated,content.org.matrix.msc1767.text_translated
m.room.message,!AzAXCgWMyzfvKDETnR:matrix.osolomko.com,@stealer:matrix.osolomko.com,1650699730033,$yNCLz1ZEiutDocL3PbMu10kKGqK4WlZpJl1Hb89W_Zc,@stealer:matrix.osolomko.com,его лоаддерр еще,его лоаддерр еще,m.text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-04-23 01:42:10,His Ladderr is still,His Ladderr is still
m.room.message,!AzAXCgWMyzfvKDETnR:matrix.osolomko.com,@felix:matrix.osolomko.com,1650699731151,$2iESyn0jEs4d5SD9qRbmFYYFhd5Y3rAUR71G4ikfVTc,@felix:matrix.osolomko.com,и пробовал его работу,и пробовал его работу,m.text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-04-23 01:42:11,And tried his work,And tried his work
m.room.message,!AzAXCgWMyzfvKDETnR:matrix.osolomko.com,@felix:matrix.osolomko.com,1650699732628,$O76v7XKc0juuI1bB5ZS_K_GcadatdSwm_VUJDaeDNg8,@felix:matrix.osolomko.com,ок,ок,m.text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-04-23 01:42:12,OK,OK
m.room.message,!AzAXCgWMyzfvKDETnR:matrix.osolomko.com,@stealer:matrix.osolomko.com,1652727066511,$vz4zs8jiwjUw5-yBcgy4xOKFCDsOaDyINBLKpeDxziA,@stealer:matrix.osolomko.com,,revz1605.7z,m.file,45383.0,v2,A256CTR,True,fLeLkO69soPlYNMzrm-uKhH6vd-y9HzdJlcirajNjkI,"['encrypt', 'decrypt']",oct,st29b4kxu/QAAAAAAAAAAA,wszUEl+u9WWNriVlJVp5bpdvi6jL0jRCLgqb72lAp2g,mxc://matrix.osolomko.com/ABeuIaawHnYtsUmALevHDgGA,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-05-16 12:51:06,Revz1605.7z,
m.room.message,!AzAXCgWMyzfvKDETnR:matrix.osolomko.com,@stealer:matrix.osolomko.com,1652727070077,$Yul1OyJSBqNmDtZBYdzDhWlh2zZUoKXTzR156Mwt8bA,@stealer:matrix.osolomko.com,привет,привет,m.text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-05-16 12:51:10,Hey,Hey
m.room.message,!AzAXCgWMyzfvKDETnR:matrix.osolomko.com,@stealer:matrix.osolomko.com,1652727081956,$F4c68yXiRa8sXrDB_Q9QkY66X5WXiZTv5X7g79N7kTs,@stealer:matrix.osolomko.com,протестируй плз крипт-декрипт екси,протестируй плз крипт-декрипт екси,m.text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-05-16 12:51:21,Test PLZ Crypt-DECRIPT Exisi,Test PLZ Crypt-DECRIPT Exisi
m.room.message,!AzAXCgWMyzfvKDETnR:matrix.osolomko.com,@felix:matrix.osolomko.com,1652781301974,$Tup6n4lw_NoXvZk2Aob6CNPWoeo3vDR1WbHPNQ2KMwg,@felix:matrix.osolomko.com,"привет, принял","привет, принял",m.text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-05-17 03:55:01,"Hi, accepted","Hi, accepted"
m.room.message,!AzAXCgWMyzfvKDETnR:matrix.osolomko.com,@felix:matrix.osolomko.com,1652781339427,$Th0gQjpKT1xF8xXOXAGTJKwwQOmhVYmjJtSUBhVF3Mo,@felix:matrix.osolomko.com,"щас кобальт на тестах, сегодня сдела","щас кобальт на тестах, сегодня сдела",m.text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-05-17 03:55:39,"right now cobalt on tests, today","right now cobalt on tests, today"
m.room.message,!AzAXCgWMyzfvKDETnR:matrix.osolomko.com,@stealer:matrix.osolomko.com,1660855335367,$lKy_Dgqy1ePJtVu13MBg9qyhlW9enmH2xk8bikCqaDc,@stealer:matrix.osolomko.com,привет,привет,m.text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-08-18 14:42:15,Hey,Hey
m.room.message,!AzAXCgWMyzfvKDETnR:matrix.osolomko.com,@stealer:matrix.osolomko.com,1660855338501,$LD9pUQKcsNPL-hAcC5TMjrz7jy3oeTGeJzXoeZXUNwM,@stealer:matrix.osolomko.com,https://matrix.mpodkk.com/,https://matrix.mpodkk.com/,m.text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-08-18 14:42:18,,
m.room.message,!AzAXCgWMyzfvKDETnR:matrix.osolomko.com,@stealer:matrix.osolomko.com,1660855344994,$AfgUQmaewGC686uqyRJztxyWhUbaehPrA-HjCbW6b9o,@stealer:matrix.osolomko.com,переезжаем на это тсервак,переезжаем на это тсервак,m.text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-08-18 14:42:24,We move to this Tservak,We move to this Tservak
m.room.message,!AzAXCgWMyzfvKDETnR:matrix.osolomko.com,@stealer:matrix.osolomko.com,1660855365800,$yI9DbIRIZ6HcKvZaFB1Jf49pVVRvd3lMLXDzey6ZAf8,@stealer:matrix.osolomko.com,felix 123456,felix 123456,m.text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-08-18 14:42:45,Felix 123456,Felix 123456
m.room.message,!AzAXCgWMyzfvKDETnR:matrix.osolomko.com,@stealer:matrix.osolomko.com,1660855373203,$dVH7hBDAq7AFGx3Gp_Qeh5kE3QjGxHY0rCopK3QSewI,@stealer:matrix.osolomko.com,подтверди плз что получил креды,подтверди плз что получил креды,m.text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-08-18 14:42:53,Confirm PLZ that I received credits,Confirm PLZ that I received credits
m.room.message,!FzNtBwpYHwqehyXJaf:matrix.mtololo.com,@killanas:matrix.mtololo.com,1642350361054,$HCsvmRsSeZ09wPsH0NyoqpCpxGagQ2cGQsaIRzUae-k,@killanas:matrix.mtololo.com,,Всем привет. В аки зашел. Пассы сменил,m.text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-01-16 09:26:01,Hi all. I went to Aki. Passes changed,
m.room.message,!FzNtBwpYHwqehyXJaf:matrix.mtololo.com,@stealer:matrix.mtololo.com,1642350391133,$Fn00xnBs8h3wmutA7caUhkSwX-LOE_iRdW1IJMl86j4,@stealer:matrix.mtololo.com,,не забывайте отключать сервер идентификации vector.im ,m.text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-01-16 09:26:31,Do not forget to disconnect the Vector.im identification server,
m.room.message,!FzNtBwpYHwqehyXJaf:matrix.mtololo.com,@killanas:matrix.mtololo.com,1642350405763,$tZzVFrAPejGQju5bxfQHQ88AtOAtKJS91GUQWDP4dKM,@killanas:matrix.mtololo.com,,Это где?,m.text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-01-16 09:26:45,Where is it?,
m.room.message,!FzNtBwpYHwqehyXJaf:matrix.mtololo.com,@stealer:matrix.mtololo.com,1642350434491,$uNQeg6q3BQnXoLY97ihUNM8ZmxxT-fWl4Cksdg8lLvc,@stealer:matrix.mtololo.com,,"в настройках ищи, от клиента зависит. маркер- vector.im",m.text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-01-16 09:27:14,"Look for in the settings, it depends on the client. Marker- Vector.im",
m.room.message,!FzNtBwpYHwqehyXJaf:matrix.mtololo.com,@killanas:matrix.mtololo.com,1642350443426,$z6fADIvOR_aNrbjDPSb4tkBAsAa2Kxn6-p6UHf1OGpE,@killanas:matrix.mtololo.com,,Оно же по умолчанию вроде отключено,m.text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-01-16 09:27:23,It is also disabled by default,
m.room.message,!FzNtBwpYHwqehyXJaf:matrix.mtololo.com,@stealer:matrix.mtololo.com,1642350456865,$2F0SFzpWraM00NyitGf1qdO8DZrR0DWGZS0t2OZi5Tk,@stealer:matrix.mtololo.com,,general-identity server,m.text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-01-16 09:27:36,General-intentity Server,
m.room.message,!FzNtBwpYHwqehyXJaf:matrix.mtololo.com,@killanas:matrix.mtololo.com,1642350484614,$ijjDlrs_hT61bdLk0Z8g9uDkFTOamGSJauTQGRPUgWo,@killanas:matrix.mtololo.com,,отключил,m.text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-01-16 09:28:04,Disabled,
m.room.message,!FzNtBwpYHwqehyXJaf:matrix.mtololo.com,@stealer:matrix.mtololo.com,1642350486675,$g4L4W_YSfW5P8tBYDaxF-wGk8BOXzZxDOgod5_GkbhY,@stealer:matrix.mtololo.com,,"федерацию в серверной части я отключил, а вот что клиент сливает- хз",m.text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-01-16 09:28:06,"I turned off the federation in the server part, but what the client merges- xs",
m.room.message,!FzNtBwpYHwqehyXJaf:matrix.mtololo.com,@saint:matrix.mtololo.com,1642380132217,$dkNmSiHwf1qQuzUQ9FdwrW9DDLPkm8eCpyAKM-yU4gs,@saint:matrix.mtololo.com,,привет всем,m.text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-01-16 17:42:12,Hi everyone,
m.room.message,!FzNtBwpYHwqehyXJaf:matrix.mtololo.com,@stealer:matrix.mtololo.com,1642380182406,$3xf5hPZK-ukDrsoO0qZJ8dOg9mlIWbeI8Q8kYw_hPjU,@stealer:matrix.mtololo.com,,coder0 это killanas,m.text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-01-16 17:43:02,Coder0 is Killanas,
m.room.message,!FzNtBwpYHwqehyXJaf:matrix.mtololo.com,@saint:matrix.mtololo.com,1642380188697,$PbSIzwERZJ-DW9KSWdfPJSUj6WHHp9Ejb8rsB8mkk3U,@saint:matrix.mtololo.com,,понял,m.text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-01-16 17:43:08,understood,
m.room.message,!FzNtBwpYHwqehyXJaf:matrix.mtololo.com,@stealer:matrix.mtololo.com,1642380191558,$VTuvAutCCzeR98odVhIREv7LUdytpRiUWhVnjY8SeGE,@stealer:matrix.mtololo.com,,coder1 второй кодер его команды,m.text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-01-16 17:43:11,Coder1 Second Coder of his team,
m.room.message,!FzNtBwpYHwqehyXJaf:matrix.mtololo.com,@saint:matrix.mtololo.com,1642380676057,$inL-hHaD6DlI1Xwzez9oRqApDo2n7UecbFtwV_xOevA,@saint:matrix.mtololo.com,,"Роман Геннадьевич Муромский (https://t.me/vchkogpu/24809) — участник хакерской группировки REevil. Тверской суд Москвы заключил под стражу на два месяца задержанного по запросу США Муромского, который подозревается в незаконном обороте средств платежей. Аккаунт Муромского в ВК указывает на то, что он закончил МГТУ Станкина, ему 33 года. Код размещенный на Pastebin (https://pastebin.com/u/gipperion), зарегистрированный под его никнеймом Gipperion (https://github.com/gipperion) (Github, привязан к его почте) свидетельствует о том, что в 2019 году Муромский использовал инструменты автоматизированного подбора паролей (Brute-force). 
Такой вот уровень конспирации.",m.text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-01-16 17:51:16,"Roman Gennadievich Muromsky (https://t.me/vchkogpu/24809) - participant in the hacker group Reeevil. The Tver court of Moscow was detained for two months of Muromsky, detained at the request of the United States, which is suspected of illegal turnover of payments. The Murom account in the VK indicates that he graduated from MGTU, he is 33 years old. The code posted on Pastebin (https://pastebin.com/u/gipperion), registered under its nickname Gipperion (https://github.com/gipperion) (github, tied to its mail) indicates that in 2019 in 2019 Muromsky used the tools of automated password selection (Brute-FORCE).
Such is the level of conspiracy.",
m.room.message,!FzNtBwpYHwqehyXJaf:matrix.mtololo.com,@stealer:matrix.mtololo.com,1642380746551,$o_nMr35vbCnRKfcEVAnkXssd5dpfBt-0z4RIvSskVwM,@stealer:matrix.mtololo.com,,вин32 долго нет. не нравится это,m.text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-01-16 17:52:26,Vin32 is gone for a long time. I don't like it,
m.room.message,!FzNtBwpYHwqehyXJaf:matrix.mtololo.com,@saint:matrix.mtololo.com,1642380757064,$9r4bEGC2H7bO3Ys9FFFrXdwA8mGQsdl0lU3kH61RjPg,@saint:matrix.mtololo.com,,на форуме я его вижу,m.text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-01-16 17:52:37,on the forum I see it,
m.room.message,!FzNtBwpYHwqehyXJaf:matrix.mtololo.com,@saint:matrix.mtololo.com,1642380760082,$gbCIinYn1YTuYFJqGhRbYFVnApVyJ7Fsr3JPYAY0WcQ,@saint:matrix.mtololo.com,,напишу в личку скоро,m.text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-01-16 17:52:40,I'll write in a personal soon,
m.room.message,!FzNtBwpYHwqehyXJaf:matrix.mtololo.com,@saint:matrix.mtololo.com,1642380767618,$HZ5q9fr55HxlzNSfxSHM1HcO6d-KEEzaYm9brP7hwTM,@saint:matrix.mtololo.com,,мб на дно лег,m.text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-01-16 17:52:47,MB to the bottom lay down,
m.room.message,!FzNtBwpYHwqehyXJaf:matrix.mtololo.com,@saint:matrix.mtololo.com,1642380771427,$D6W9Cd0xi3fu5efHPEM10VpjSJIbZVdFXf2Ralj5ToE,@saint:matrix.mtololo.com,,на форуме пишет),m.text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-01-16 17:52:51,writes on the forum),
m.room.message,!FzNtBwpYHwqehyXJaf:matrix.mtololo.com,@stealer:matrix.mtololo.com,1642380772461,$vV79-XGAxpWoB1qNLi-ogYCl0zUn0WBvPF9T-nXUY-8,@stealer:matrix.mtololo.com,,"и когда тз скидывал- был значок неподтвержденной сессии, ответа не было",m.text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-01-16 17:52:52,"And when I was thrown away, there was an icon of a confirmed session, there was no answer",
m.room.message,!FzNtBwpYHwqehyXJaf:matrix.mtololo.com,@killanas:matrix.mtololo.com,1642381321708,$lnjhigqZASYWqTUXVMuQNRcDmJ5EIOYGC9PLpLkjeWM,@killanas:matrix.mtololo.com,,"> <@stealer:matrix.mtololo.com> вин32 долго нет. не нравится это

Ну его периодически не было.",m.text,,,,,,,,,,,,,,org.matrix.custom.html,"<mx-reply><blockquote><a href=""https://matrix.to/#/!FzNtBwpYHwqehyXJaf:matrix.mtololo.com/$o_nMr35vbCnRKfcEVAnkXssd5dpfBt-0z4RIvSskVwM?via=matrix.mtololo.com"">In reply to</a> <a href=""https://matrix.to/#/@stealer:matrix.mtololo.com"">@stealer:matrix.mtololo.com</a><br />вин32 долго нет. не нравится это</blockquote></mx-reply>Ну его периодически не было.",$o_nMr35vbCnRKfcEVAnkXssd5dpfBt-0z4RIvSskVwM,,,,,,,,,,,,,,,,,,,,,2022-01-16 18:02:01,"> <@stealer: Matrix.mtololo.com> Vin32 is not long. I don't like it 

 Well, it was not periodically.",
m.room.message,!FzNtBwpYHwqehyXJaf:matrix.mtololo.com,@killanas:matrix.mtololo.com,1642381337790,$fjj_JZoVWXlU_Y8YivcL5vJqo5d7wBLVtpWIUMW1YMc,@killanas:matrix.mtololo.com,,Но в текущих реалиях напрягает(,m.text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-01-16 18:02:17,But in the current realities he strains (,
m.room.message,!FzNtBwpYHwqehyXJaf:matrix.mtololo.com,@saint:matrix.mtololo.com,1642381373653,$Ao2Bjb4C4bv9jVoTFfVS0FqOUSp2Eupj006C_apvAM8,@saint:matrix.mtololo.com,,отписал ему,m.text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-01-16 18:02:53,wrote to him,
m.room.message,!FzNtBwpYHwqehyXJaf:matrix.mtololo.com,@saint:matrix.mtololo.com,1642381380804,$WNSebvpDyde45GifrRD7EjHmIq-rKKxtDtIOa1qYsvg,@saint:matrix.mtololo.com,,он в субботу последнее сообщение писал на форуме,m.text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-01-16 18:03:00,He wrote the last message on the forum on Saturday,
m.room.message,!FzNtBwpYHwqehyXJaf:matrix.mtololo.com,@saint:matrix.mtololo.com,1642381382591,$b5b4rGbQ3yWms5JSb39QLlS8dBpl-NSwT1vdkskQmuo,@saint:matrix.mtololo.com,,зайдет,m.text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-01-16 18:03:02,Come in,
m.room.message,!FzNtBwpYHwqehyXJaf:matrix.mtololo.com,@saint:matrix.mtololo.com,1642381385315,$HWU8MUuCECREYkxQ3DDaEqLjUlU7Zi8GPMe6vbqtL4I,@saint:matrix.mtololo.com,,в пнд,m.text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-01-16 18:03:05,In PND,
m.room.message,!FzNtBwpYHwqehyXJaf:matrix.mtololo.com,@saint:matrix.mtololo.com,1642381440567,$NRFkQG0HX-WPM81fDzYQuPPRkot6d0sUZcp69tHOfB4,@saint:matrix.mtololo.com,,image.png,m.image,17285.0,v2,A256CTR,True,FoVZtjhBgonk8UCZKC57ixXq1weYi49Xv-5ErwItD3k,"['encrypt', 'decrypt']",oct,6ug4Oewx0g0AAAAAAAAAAA,YNs6bMhnbVIHhtWlg48ZaVvrfN16+9Enfr5JRImJrYY,mxc://matrix.mtololo.com/CASjmpsmENrashlGYVYMimet,,,,,,,image/png,170.0,195.0,TjO:@Tj[~qM{j[%gV@ayRj?bayM{,,,,,,,,,,,,,,,,,2022-01-16 18:04:00,Image.png,
m.room.message,!FzNtBwpYHwqehyXJaf:matrix.mtololo.com,@saint:matrix.mtololo.com,1642381442800,$duAJKxgR6c4NkeBH6-vFqvJa5vDgVH8mbBNYBP9JoJ8,@saint:matrix.mtololo.com,,капец кадры,m.text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-01-16 18:04:02,Kapets personnel,
m.room.message,!FzNtBwpYHwqehyXJaf:matrix.mtololo.com,@saint:matrix.mtololo.com,1642381446280,$Yp8jvlqbPCF_yeh696qFDceq2nkULDUyrdvaLrM5vsg,@saint:matrix.mtololo.com,,придумать своё сложно что ли,m.text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-01-16 18:04:06,It is difficult to come up with your own,
